timestamp,comment-id,voter-id,vote
1477505490201,0,0,0
1477573315631,0,1,-1
1477575691073,0,2,-1
1477576606678,0,3,-1
1477577521663,0,4,-1
1477577735767,0,5,-1
1477580706035,0,7,-1
1477581268722,0,8,-1
1477585005448,0,9,-1
1477592964816,0,11,-1
1477593851778,0,12,-1
1477594875341,0,14,-1
1477597855876,0,17,-1
1477610631228,0,18,-1
1477615172213,0,19,-1
1477642114356,0,20,-1
1477649902142,0,21,-1
1477657788853,0,22,-1
1477665821074,0,23,0
1477682822662,0,24,-1
1477681362797,0,25,-1
1477686234154,0,26,-1
1477692871907,0,27,-1
1477705219220,0,29,-1
1477707434710,0,31,-1
1477710601017,0,33,-1
1477714160339,0,35,-1
1477755726012,0,36,-1
1477785353683,0,37,-1
1477762920346,0,38,-1
1477762731511,0,39,0
1477762704453,0,40,-1
1477763485705,0,41,-1
1477948120728,0,43,-1
1477948467033,0,44,1
1477988515913,0,45,-1
1478011549070,0,48,-1
1478020180757,0,49,-1
1477505497931,1,0,0
1477573339700,1,1,0
1477576468193,1,2,1
1477576728591,1,3,-1
1477577604825,1,4,1
1477577834778,1,5,0
1477580745482,1,7,-1
1477581289442,1,8,-1
1477585059327,1,9,-1
1477593030028,1,11,1
1477593926111,1,12,-1
1477594790011,1,14,1
1477596434358,1,15,1
1477597783827,1,17,1
1477610645738,1,18,-1
1477614955209,1,19,1
1477642055200,1,20,-1
1477649854384,1,21,-1
1477657761110,1,22,1
1477665722150,1,23,-1
1477682719662,1,24,1
1477681190030,1,25,-1
1477686319282,1,26,1
1477692774901,1,27,1
1477704703865,1,29,-1
1477704815643,1,30,1
1477707420541,1,31,1
1477710649867,1,33,-1
1477714343776,1,35,1
1477755704469,1,36,1
1477785344516,1,37,-1
1477762768384,1,38,1
1477762742887,1,39,1
1477762878662,1,40,1
1477762777420,1,41,-1
1477948227775,1,43,1
1477948482957,1,44,-1
1477988650827,1,45,-1
1478011522234,1,48,1
1478020194034,1,49,1
1477505507621,2,0,0
1477573306602,2,1,0
1477576706116,2,3,-1
1477577504304,2,4,1
1477578000834,2,5,-1
1477579743854,2,6,1
1477580766011,2,7,-1
1477581205751,2,8,-1
1477585069815,2,9,-1
1477593063987,2,11,-1
